Titulo-Artista|Letra
Só Fé-Grelo|"O Grelo não precisa de muito, não
Só peço a Deus muita saúde
E que Ele continue aí nos abençoando pra que a gente consiga comprar
Um mé, o leitin dos menino e o Modess da muié
O resto é só fé
É o Grelo Lavei meu rosto nas águas sagradas da pia
Eu já tô pronto pra matar meu leão do dia
Deus abençoe nóis
E a nossa correria Hoje eu levantei da cama, tomei meu café
Dei um beijo nas criança, eu coisei com a muié
Tudo isso foi de graça, irmão
As coisas boas são de graça, irmão A vida é de boa, não preciso de muito pra ser feliz, não
Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé
O resto é só fé, só fé, só fé
Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé
O resto é só fé, só fé, só fé É o Grelo Lavei meu rosto nas águas sagradas da pia
Eu já tô pronto pra matar meu leão do dia
Deus abençoe nóis
E a nossa correria Hoje eu levantei da cama, tomei meu café
Dei um beijo nas criança, eu coisei com a muié
Tudo isso foi de graça, irmão
As coisas boas são de graça, irmão A vida é de boa, não preciso de muito pra ser feliz, não
Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé
O resto é só fé, só fé, só fé
Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé Só quem é humildade vai cantar assim, ó Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé
O resto é só fé, só fé, só fé
Só preciso de um dinheiro pra comprar um mé
O leitin das criança e o Modess da muié
O resto é só fé, só fé, só fé
O resto é só fé, só fé, só fé
Muita fé, fé, fé, fé, fé"
Die With A Smile (feat. Bruno Mars)-Lady Gaga|"Ooh
I I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you Woo-ooh Ooh, lost
Lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love is the only war worth fighting for Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you Right next to you
Next to you
Right next to you
Oh-oh-oh If the world was ending, I'd wanna be next to you
If the party was over and our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending, I'd wanna be next to you
If the world was ending, I'd wanna be next to you Ooh, ooh
I'd wanna be next to you"
BIRDS OF A FEATHER-Billie Eilish|"I want you to stay
Till I'm in the grave
Till I rot away, dead and buried
Till I'm in the casket you carry If you go, I'm going too, uh
'Cause it was always you, uh
And if I'm turning blue, please, don't save me
Nothing left to lose without my baby Birds of a feather, we should stick together
I know I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better And I don't know what I'm crying for
I don't think I could love you more
It might not be long, but, baby, I I'll love you till the day that I die
Till the day that I die
Till the light leaves my eyes
Till the day that I die I want you to see, mmm
How you look to me, huh
You wouldn't believe if I told ya
You would keep the compliments I throw ya But you're so full of shit, hmm
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid And I don't know what I'm crying for
I don't think I could love you more
It might not be long, but, baby, but I
Don't wanna say goodbye (Birds of a feather, we should stick together) till the day that I die
(I know I said I'd never think I wasn't better alone) till the light leaves my eyes
(Can't change the weather, might not be forever) till the day that I die
But if it's forever, it's even better I knew you in another life
You had the same look in your eyes
I love you, don't act so surprised"
Tu és + Águas Purificadoras (part. Débora Rabelo e Hamilton Rabelo)-Florianópolis House Of Prayer (fhop music)|"Junto ao poço estava eu
Quando um homem judeu
Viu a sede que havia em mim
Sem me ouvir, conheceu
E me ofereceu uma água que jorra sem fim Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Junto ao poço estava eu
Quando um homem judeu
Viu a sede que havia em mim
Sem me ouvir, conheceu
E me ofereceu uma água que jorra sem fim Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar Dá-me de beber, pois tenho sede
Não quero mais buscar em outras fontes
Não precisarei aqui voltar pra minha sede saciar
Uma vez que eu já ouvi Teu falar Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Quero beber do Teu rio, Senhor
Sacia a minha sede, lava o meu interior
Eu quero fluir em Tuas águas
Eu quero beber da Tua fonte
Fonte de águas vivas Quero beber do Teu rio, Senhor
Sacia a minha sede, lava o meu interior
Eu quero fluir em Tuas águas
Eu quero beber da Tua fonte
Fonte de águas vivas Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador Tu és por quem a minh'alma esperou
A fonte da vida que me encontrou
És o dom de Deus, o Messias
O meu Salvador"
Too Sweet-Hozier|"It can't be said I'm an early bird
It's ten o'clock before I say a word
Baby, I can never tell
How do you sleep so well
You keep tellin' me to live right
To go to bed before the daylight
But then you wake up for the sunrise
You know you don't gotta pretend
Baby, now and then Don't you just wanna wake up, dark as a lake
Smellin' like a bonfire, lost in a haze?
If you're drunk on life, babe, I think it's great
But while in this world I think I'll take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh I aim low
I aim true and the ground is where I go
I work late where I'm free from the phone
And the job gets done
But you worry some, I know
But who wants to live forever, babe?
You treat your mouth as if it's heaven's gate
The rest of you like you're the TSA
I wish I could go along
Babe, don't get me wrong You know you're bright as the morning, as soft as the rain
Pretty as a vine, as sweet as a grape
If you can sit in a barrel, maybe I'll wait
Until that day I'd rather take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh-oh I take my whiskey neat
My coffee black and my bed at three
You're too sweet for me
You're too sweet for me"
Areia (part. Lucas Lima)-Sandy|"Quer parar o tempo
Natural que seja assim
Ainda não te sei de cor
Tem tanto que eu não aprendi Quer parar o tempo
Pra eu ver daqui
Teu mundo vir assanhar meu rio
Eu posso até te olhar sem ir Tudo no seu tempo (ooh)
Tão veloz por dentro (ooh)
Em mim, passa devagar
A me acertar Feito areia, ê-ah-ah
Feito areia, ê-ah-ah
Em mim
Em mim
Feito areia, ê-ah-ah
Feito areia, ê-ah-ah
Em mim Tenho fragmentos (ooh)
De uma vida com você (ooh)
E tantos intervalos só
De longe, mas querendo crer Tudo no seu tempo (tudo no seu tempo)
Tão veloz por dentro (tão veloz por dentro)
Em mim, passa devagar
A me acertar Feito areia, ê-ah-ah
Feito areia, ê-ah-ah
Em mim
Em mim (em mim)
Feito areia, ê-ah-ah
Feito areia, ê-ah-ah
Em mim Corta essa distância, se agarra nesse vento e vem
Me abraçar
Dá pra juntar tudo, espera o tempo certo e vem
Não deixa passar
E assim (e assim)
Enquanto der, enquanto quer
E assim Feito areia, ê-ah-ah
Feito areia, ê-ah-ah
Em mim (em mim)
Em mim (em mim)
Feito areia, ê-ah-ah
Feito areia, ah-ah
Em mim (em mim)
Em mim Feito areia, ê-ah-ah
Feito areia, ê-ah-ah"
Escape-Renascer Praise|"O inimigo tenta laços e embaraços
Pra me envergonhar, mas não vai
Porque eu não estou sozinho nessa guerra
Está comigo o braço forte do Senhor Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento O inimigo tenta laços e embaraços
Pra me envergonhar, mas não vai
Porque eu não estou sozinho nessa guerra
Está comigo o braço forte do Senhor Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento Aquele que acalma o vento
Aquele que aquieta o mar
Que tira a força do fogo
E faz o leão jejuar
O Deus que derruba as muralhas
Da estéril faz mãe de filhos
É o mesmo que brada do alto
Não temas, sou contigo Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento Leão da Tribo de Judá
Rei dos Reis reina para sempre
Leão da Tribo de Judá
Rei dos Reis reina para sempre Leão da Tribo de Judá
Rei dos Reis reina para sempre
Leão da Tribo de Judá
Rei dos Reis reina para sempre Reina para sempre
Reina para sempre Deus já tem um caminho aberto pelas águas
Faz romper muitas fontes em meio ao deserto
Haverá nuvens que trazem chuvas de bênçãos
Ouça a voz, Deus te dá escape e livramento"
Porque Ele Vive-Harpa Cristã|"Deus enviou Seu Filho amado
Pra perdoar, pra me salvar
Na cruz morreu por meus pecados
Mas ressurgiu e vivo com o Pai está Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos de meu Jesus, que vivo está E quando, enfim, chegar a hora
Em que a morte enfrentarei
Sem medo, então, terei vitória
Verei na Glória, o meu Jesus que vivo está Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos do meu Jesus, que vivo está Porque Ele vive, posso crer no amanhã
Porque Ele vive, temor não há
Mas eu bem sei, eu sei que a minha vida
Está nas mãos do meu Jesus, que vivo está
Está nas mãos do meu Jesus, que vivo está"
Em Fervente Oração-Harpa Cristã|"Em fervente oração, vem o teu coração
Na presença de Deus derramar
Mas só podes fruir o que estás a pedir
Quando tudo deixares no altar Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar Maravilhas de amor te fará o Senhor
Atendendo à oração que aceitar
Seu imenso poder te virá socorrer
Quando tudo deixares no altar Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar Se orares, porém, sem o teu coração
Ter a paz que o Senhor pode dar
Foi por Deus não sentir que tua alma se abriu
Tudo, tudo, deixando no altar Quando tudo perante o Senhor estiver
E todo o teu ser Ele controlar
Só então hás de ver que o Senhor tem poder
Quando tudo deixares no altar"
CHIHIRO-Billie Eilish|"To take my love away
When I come back around, will I know what to say? Said you won't forget my name
Not today
Not tomorrow
Kinda strange
Feeling sorrow
I got change (yeah)
You could borrow (borrow) When I come back around, will I know what to say?
Not today
Maybe tomorrow Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door? Did you
Take
My love
Away
From me, me?
Me Saw your seat at the counter when I looked away
Saw you turn around, but it wasn't your face
Said: I need to be alone now, I'm taking a break
How come when I returned you were gone away? I don't
I don't know why I called
I don't know you at all
I don't know you
Not at all I don't
I don't know why I called
I don't know you at all
I don't know you Did you
Take
My love
Away
From me, me? And that's when you found me I was waiting in the garden
Contemplating, beg your pardon
But there's a part of me that recognizes you
Do you feel it too? When you told me it was serious
Were you serious? Mmm
They told me they were only curious
Now it's serious, mmm Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door? Wringing my hands in my lap
And they tell me it's all been a trap
And you don't know if you'll make it back
I say: No, don't say that (Wringing my hands in my lap)
(Tell me it's all been a trap)
(Don't know if you'll make it back)
(I say: No, don't say that) (Wringing my hands in my lap)
(Tell me it's all been a trap)
(Don't know if you'll make it back)
(Don't say that) Mhm"
